Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ga,V,Ti,Zr,Bi,Pb,Li,B,Sc,Be,S_A_Temp,Ageing_Temp,Ageing_Time,Air,Furnace,Water,6% Work Hardening,7% Work Hardening,Compression,Cryrolling,HT Work Hardening,Rolling,Stretch,Work Hardening Level 1,Work Hardening Level 2,Work Hardening Level 4,Work Hardening Level 6,Work Hardening Level 8,Work hardening,none_strain,Artificial,Natural,Overageing,none_age,Partial Annealed,Stablized,none_treat,Drawn,Extruded,Forged,Rolled,Thixoformed,unspecified_man,Tube,Wire,Sheet,Bar,unspecified_prod,Plate,Foil,Rod,Die Forging,Ring,Forging,Ingot,Fin Stock,UTS,YTS,ELONGATION
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131.0,124.0,6.0
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110.0,103.0,8.0
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.0,90.0,
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97.0,90.0,12.0
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110.0,83.0,2.5
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83.0,76.0,16.0
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,70.0,
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,70.0,
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99.0,70.0,5.5
125,155,25,15,15,0.0,0.0,25,0.0,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92.5,62.0,9.0
