iter	Passed	Remaining
470	376	4247471	377	4247472	378	4247473	379	4247474	379	4147475	380	4147476	381	4147477	382	4147478	382	4147479	383	4147480	384	4148481	385	4148482	386	4148483	386	4148484	387	4148485	388	4148486	388	4048487	389	4048488	390	4048489	391	4048490	392	4049491	392	4049492	393	4049493	394	4049494	395	4049495	396	4049496	396	4049497	397	4049498	398	3949499	399	3949500	399	3950501	400	3950502	401	3950503	402	3950504	403	3950505	403	3950506	404	3950507	405	3950508	406	3950509	406	3950510	407	3951511	408	3851512	409	3851513	409	3851514	410	3851515	411	3851516	411	3851517	412	3851518	413	3851519	413	3851520	414	3852521	415	3852522	416	3752523	416	3752524	417	3752525	418	3752526	418	3752527	419	3752528	420	3752529	420	37529	422	374
530	424	374
531	424	373
532	425	372
533	426	371
534	426	370
535	427	370
536	428	369
537	428	368
538	429	367
539	430	366
540	430	365
541	431	364
542	432	363
54544	431	3654545	432	35545	434	361
546	435	360
547	436	359
548	437	359
549	437	358
550	438	357
551	439	356
552	440	356
553	441	355
554	441	354
555	442	353
556	443	352
557	444	351
558	444	350
559	445	349
560	446	349
561	446	348
562	447	347
563	448	346
564	449	345
565	449	345
566	450	344
567	451	343
568	452	342
569	452	341
57571	451	3357572	451	3357573	452	3357574	453	33574	456	337
575	457	336
576	457	335
577	458	334
578	459	333
579	459	333
580	460	332
581	461	331
582	462	330
583	462	329
584	463	328
585	464	328
586	465	327
58588	462	3258589	463	32589	467	324
590	468	324
591	469	323
592	470	322
593	470	321
59595	468	3159596	469	3159597	469	3159598	470	3159599	470	3159600	471	3160601	472	3160602	473	3160603	473	3160604	474	3060605	474	3060606	475	3060607	476	3060608	477	3060609	477	3060610	478	30610	482	307
611	483	306
612	484	305
613	485	304
614	485	304
615	486	303
616	487	302
617	488	301
618	489	301
619	489	300
620	490	299
621	491	298
622	491	297
623	492	296
624	493	296
625	494	295
626	494	294
627	495	293
628	496	292
629	497	291
63631	493	2863632	494	2863633	495	2863634	496	2863635	497	2863636	498	2863637	499	2863638	499	2863639	500	2863640	501	2864641	501	2764642	502	2764643	503	2764644	503	2764645	504	2764646	505	2764647	506	2764648	507	274
649	507	273
650	508	272
651	509	271
652	509	270
653	510	270
654	511	269
655	512	2665656	512	2665657	513	266
658	514	266
659	514	265
660	515	264
661	516	263
662	517	262
663	517	262
664	518	261
665	519	260
666	520	259
667	520	258
668	521	258
669	522	257
670	523	256
671	523	255
672	524	255
673	525	254
674	526	253
675	527	252
676	528	252
677	528	251
678	529	250
679	529	249
680	530	248
681	531	247
682	531	246
683	532	2468684	532	2468685	533	2468686	534	2468687	534	2468688	535	2468689	536	2468690	537	2469691	537	2369692	538	23692	543	240
69694	540	2369695	541	2369696	542	23696	547	237
69698	543	2369699	544	23699	549	235
700	549	234
701	550	233
70703	546	2270704	547	2270705	548	2270706	548	2270707	549	2270708	550	2270709	550	2270710	551	2271711	552	2271712	553	2271713	554	2271714	554	2271715	555	2271716	556	2171717	557	2171718	557	2171719	558	2171720	559	2172721	559	2172722	560	2172723	560	2172724	561	2172725	562	2172726	563	2172727	564	2172728	564	2072729	565	2072730	566	2073731	567	2073732	567	2073733	568	2073734	569	2073735	569	2073736	570	2073737	571	2073738	572	2073739	572	2073740	573	2074741	574	1974742	575	1974743	575	1974744	576	1974745	577	1974746	577	1974747	578	1974748	579	1974749	580	1974750	580	1975751	581	1975752	582	1975753	583	1975754	583	1875755	584	1875756	585	1875757	586	1875758	586	1875759	587	1875760	588	1876761	589	1876762	589	1876763	590	1876764	590	1876765	591	1876766	592	1776767	592	1776768	593	1776769	594	1776770	594	1777771	595	1777772	596	1777773	596	1777774	597	1777775	598	1777776	599	17776	605	173
777	606	173
77779	601	1677780	602	1678781	603	1678782	603	1678783	604	1678784	605	1678785	605	1678786	606	1678787	607	1678788	607	1678789	608	1678790	609	1679791	609	1679792	610	1579793	611	1579794	612	1579795	612	1579796	613	1579797	614	155
798	615	154
799	616	154
800	617	153
801	617	152
802	618	151
803	619	150
804	619	150
805	620	149
806	621	148
807	622	148
808	623	147
809	624	146
810	625	145
811	626	144
812	626	144
813	627	143
814	628	142
815	629	141
816	629	141
817	630	140
818	631	139
819	632	138
820	633	138
821	633	137
822	634	136
823	635	135
824	635	134
825	636	134
826	637	133
827	637	132
828	638	131
829	639	130
830	640	130
831	640	129
832	641	128
833	642	127
834	643	127
835	644	126
836	645	125
837	645	124
838	646	124
839	647	123
840	648	122
841	648	121
842	649	1284843	649	1284844	650	1184845	651	118
846	651	117
847	652	1184848	653	1184849	653	1184850	654	1185851	655	1185852	656	1185853	656	1185854	657	1185855	658	1185856	658	1085857	659	1085858	660	1085859	660	1085860	661	1086861	662	1086862	663	1086863	663	1086864	664	1086865	665	1086866	666	1086867	666	1086868	667	1086869	668	998870	668	99
871	669	98
872	670	97
873	671	96
874	672	96
875	672	95
876	673	94
877	674	93
878	675	92
879	676	92
880	676	91
881	677	90
882	678	89
883	678	89
884	679	88
885	680	87
886	680	86
887	681	85
888	682	85
889	683	84
890	684	83
891	684	82
892	685	82
893	686	81
894	687	80
895	687	79
896	688	79
897	689	78
898	689	77
899	690	76
900	691	76
901	692	75
902	693	74
903	693	73
904	694	72
905	695	72
906	695	71
907	696	70
908	696	69
909	697	68
910	698	68
911	698	67
912	699	66
913	700	65
914	700	65
915	701	64
916	702	63
917	703	62
918	704	62
919	705	61
920	705	60
921	706	59
922	707	59
923	708	58
924	709	57
925	709	56
926	710	55
927	710	55
928	711	54
929	712	53
930	713	52
931	713	52
932	714	51
933	715	50
934	715	49
935	716	49
936	717	48
937	718	47
938	719	46
939	719	45
940	720	45
941	721	44
942	722	43
943	722	42
944	723	42
945	724	41
946	724	40
947	725	39
948	726	39
949	726	38
950	727	37
951	727	36
952	728	35
953	729	35
954	729	34
955	730	33
956	731	32
957	732	32
958	732	31
959	733	30
960	734	29
961	735	29
962	735	28
963	736	27
964	737	26
965	738	25
966	739	25
967	739	24
968	740	23
969	740	22
970	741	22
971	742	21
972	742	20
973	743	19
974	744	19
975	744	18
976	745	17
977	746	16
978	747	16
979	747	15
980	748	14
981	749	13
982	750	12
983	750	12
984	751	11
985	752	10
986	752	9
987	753	9
988	754	8
989	754	7
990	755	6
991	755	6
992	756	5
993	757	4
994	758	3
995	758	3
996	760	2
997	761	1
998	761	0
999	762	0

999	767	0
